00445d50        void* var_4_1 = arg1
00445d53        void* ebp = *(arg1 + 0x1670)
00445d5f        char (** i)[0x16] = &data_4a4aa0
00445d64        int32_t* esi = arg1 + 0x16d4
00445d71        *esi = 0
00445d73        esi[-1] = 0
00445d76        esi[-2] = 0
00445d7e        void* j = get_or_create_texture_ref(&data_4b7790, *i, 0, 0)
00445d83        int32_t edx_1 = *(ebp + 0x54)
00445d86        int32_t ecx = 0
00445d8a        if (edx_1 s<= 0)
00445da0        label_445da0:
00445da0        char (* var_18_1)[0x16] = *i
00445da6        sub_431cc0("Cannot find HotPoint Texture %s")
00445d8f        int32_t* edi_2 = *(ebp + 0x5c) + 0xc
00445d94        while (*edi_2 != j)
00445d96        ecx += 1
00445d97        edi_2 = &edi_2[0xc]
00445d9c        if (ecx s>= edx_1)
00445d9c        goto label_445da0
00445dbb        int32_t eax_2
00445dbb        eax_2.w = *(ecx * 0x30 + *(ebp + 0x5c) + 2)
00445dc0        int32_t ecx_2 = *(ebp + 0x38)
00445dc6        int32_t eax_3 = eax_2 * 3
00445dcc        void* eax_4 = ecx_2 + (eax_3 << 2)
00445dcf        esi[-2] = fconvert.s(fconvert.t(esi[-2]) + fconvert.t(*(ecx_2 + (eax_3 << 2))))
00445dd8        esi[-1] = fconvert.s(fconvert.t(*(eax_4 + 4)) + fconvert.t(esi[-1]))
00445de0        *esi = fconvert.s(fconvert.t(*(eax_4 + 8)) + fconvert.t(*esi))
00445de5        int32_t ecx_3 = esi[-1]
00445de8        int32_t edx_5 = *esi
00445dea        esi[-2] = esi[-2]
00445ded        esi[-1] = ecx_3
00445df0        *esi = edx_5
00445df2        i = &i[1]
00445df5        esi = &esi[3]
00445dfe        do while (i s< "X/CameraIntroTalk")
00445e18        *(arg1 + 0x17a8) = fconvert.s(fconvert.t(*(arg1 + 0x17a8)) + fconvert.t(0.300000012f))
00445e1f        return arg1
